Episode 108/2000 | Reward: 93.90 | Max X: 2058.0
Episode 109/2000 | Reward: 73.82 | Max X: 2056.0
Episode 110/2000 | Reward: 98.06 | Max X: 2056.0
Episode 111/2000 | Reward: 104.22 | Max X: 2287.0
Episode 112/2000 | Reward: 164.84 | Max X: 2102.0
Episode 113/2000 | Reward: 145.98 | Max X: 2066.0
Episode 114/2000 | Reward: 135.16 | Max X: 2055.0
Episode 115/2000 | Reward: 150.22 | Max X: 2066.0
Episode 116/2000 | Reward: 153.78 | Max X: 2056.0
Episode 117/2000 | Reward: 156.62 | Max X: 2115.0
Episode 118/2000 | Reward: 121.46 | Max X: 2057.0
Episode 119/2000 | Reward: 171.56 | Max X: 2071.0
Episode 120/2000 | Reward: 176.96 | Max X: 2558.0
Episode 121/2000 | Reward: 157.24 | Max X: 2057.0
Episode 122/2000 | Reward: 127.28 | Max X: 2056.0
Episode 123/2000 | Reward: 150.10 | Max X: 2058.0
Episode 124/2000 | Reward: 156.66 | Max X: 2114.0
Episode 125/2000 | Reward: 160.06 | Max X: 2060.0
Episode 126/2000 | Reward: 146.42 | Max X: 2059.0
Episode 127/2000 | Reward: 136.62 | Max X: 2058.0
Episode 128/2000 | Reward: 63.22 | Max X: 2200.0
Episode 129/2000 | Reward: 117.22 | Max X: 2399.0
Episode 130/2000 | Reward: 119.20 | Max X: 2057.0
Episode 131/2000 | Reward: 133.60 | Max X: 2068.0
Episode 132/2000 | Reward: 141.02 | Max X: 2056.0
Episode 133/2000 | Reward: 152.48 | Max X: 2056.0
Episode 134/2000 | Reward: 124.94 | Max X: 2057.0
Episode 135/2000 | Reward: 157.22 | Max X: 2065.0
Episode 136/2000 | Reward: 184.38 | Max X: 2065.0
Episode 137/2000 | Reward: 123.96 | Max X: 2057.0
Episode 138/2000 | Reward: 198.72 | Max X: 2512.0
Episode 139/2000 | Reward: 174.30 | Max X: 2469.0
Episode 140/2000 | Reward: 159.24 | Max X: 2330.0
Episode 141/2000 | Reward: 107.10 | Max X: 2056.0
Episode 142/2000 | Reward: 152.56 | Max X: 2398.0
Episode 143/2000 | Reward: 160.34 | Max X: 2416.0
Episode 144/2000 | Reward: 127.52 | Max X: 2423.0
Episode 145/2000 | Reward: 134.80 | Max X: 2057.0
Episode 146/2000 | Reward: 113.58 | Max X: 2057.0
Episode 147/2000 | Reward: 150.24 | Max X: 2574.0
Episode 148/2000 | Reward: 169.92 | Max X: 2061.0
Episode 149/2000 | Reward: 132.16 | Max X: 2115.0
Episode 150/2000 | Reward: 141.66 | Max X: 2195.0
Episode 151/2000 | Reward: 177.02 | Max X: 2057.0
Episode 152/2000 | Reward: 144.34 | Max X: 2115.0
Episode 153/2000 | Reward: 161.36 | Max X: 2057.0
Episode 154/2000 | Reward: 100.66 | Max X: 2056.0
Episode 155/2000 | Reward: 159.54 | Max X: 2057.0
Episode 156/2000 | Reward: 160.30 | Max X: 2059.0
Episode 157/2000 | Reward: 145.32 | Max X: 2059.0
Episode 158/2000 | Reward: 156.92 | Max X: 2057.0
Episode 159/2000 | Reward: 156.78 | Max X: 2068.0
Episode 160/2000 | Reward: 127.04 | Max X: 2055.0
Episode 161/2000 | Reward: 148.84 | Max X: 2382.0
Episode 162/2000 | Reward: 139.56 | Max X: 2359.0
Episode 163/2000 | Reward: 143.08 | Max X: 2089.0
Episode 164/2000 | Reward: 139.40 | Max X: 2058.0
Episode 165/2000 | Reward: 167.76 | Max X: 2056.0
Episode 166/2000 | Reward: 173.38 | Max X: 2519.0
Episode 167/2000 | Reward: 141.06 | Max X: 2058.0
Episode 168/2000 | Reward: 158.18 | Max X: 2056.0
Episode 169/2000 | Reward: 118.72 | Max X: 2057.0
Episode 170/2000 | Reward: 152.20 | Max X: 2424.0
Episode 171/2000 | Reward: 150.34 | Max X: 2056.0
Episode 172/2000 | Reward: 138.08 | Max X: 2056.0
Episode 173/2000 | Reward: 142.20 | Max X: 2055.0
Episode 174/2000 | Reward: 97.98 | Max X: 2074.0
Episode 175/2000 | Reward: 120.64 | Max X: 2210.0
Episode 176/2000 | Reward: 92.48 | Max X: 2562.0
Episode 177/2000 | Reward: 45.88 | Max X: 2294.0
Episode 178/2000 | Reward: 84.34 | Max X: 2308.0
Episode 179/2000 | Reward: 132.20 | Max X: 2668.0
Episode 180/2000 | Reward: 113.80 | Max X: 2644.0
Episode 181/2000 | Reward: 67.22 | Max X: 2461.0
Episode 182/2000 | Reward: 126.94 | Max X: 3116.0
Episode 183/2000 | Reward: 165.32 | Max X: 2781.0
Episode 184/2000 | Reward: 106.44 | Max X: 2758.0
Episode 185/2000 | Reward: 143.62 | Max X: 2946.0
Episode 186/2000 | Reward: 136.40 | Max X: 2712.0
Episode 187/2000 | Reward: 105.16 | Max X: 2968.0
Episode 188/2000 | Reward: 167.92 | Max X: 2809.0
