episode,reward,max_x
247,57.6800,2984.0000
248,36.8000,1990.0000
249,18.6800,1084.0000
250,18.8600,1093.0000
251,19.7600,1138.0000
252,18.4200,1071.0000
253,19.1000,1105.0000
254,18.2000,1060.0000
255,56.9400,2947.0000
256,49.0200,2601.0000
257,18.6400,1082.0000
258,36.8200,1991.0000
259,19.2600,1113.0000
260,18.2000,1060.0000
261,56.9400,2947.0000
262,55.2600,2863.0000
263,18.8400,1092.0000
264,18.2200,1061.0000
265,49.1000,2605.0000
266,18.5000,1075.0000
267,18.5200,1076.0000
268,18.3600,1068.0000
269,18.1600,1058.0000
270,57.2200,2961.0000
271,18.4200,1071.0000
272,56.9200,2946.0000
273,18.5400,1077.0000
274,18.5800,1079.0000
275,13.2600,813.0000
276,18.1000,1055.0000
277,19.4600,1123.0000
278,19.0000,1100.0000
279,20.2800,1164.0000
280,18.1800,1059.0000
281,18.5600,1078.0000
282,14.2800,864.0000
283,20.1600,1158.0000
284,20.2400,1162.0000
285,19.7200,1136.0000
286,18.0800,1054.0000
287,18.8800,1094.0000
288,13.9800,849.0000
289,18.4800,1074.0000
290,19.9400,1147.0000
291,52.5000,2775.0000
292,19.9000,1145.0000
293,18.2400,1062.0000
294,13.9200,846.0000
295,19.5000,1125.0000
296,20.0200,1151.0000
297,18.2000,1060.0000
298,51.4200,2721.0000
299,15.2200,911.0000
300,14.5400,877.0000
301,19.9800,1149.0000
302,37.0800,2004.0000
303,18.0400,1052.0000
304,18.2400,1062.0000
305,49.3000,2615.0000
306,18.4400,1072.0000
307,58.5600,3078.0000
308,18.4200,1071.0000
309,49.1400,2607.0000
310,56.9600,2948.0000
311,19.3000,1115.0000
312,18.8400,1092.0000
313,51.9800,2749.0000
314,18.5800,1079.0000
315,18.1800,1059.0000
316,18.9400,1097.0000
317,18.6600,1083.0000
318,18.2000,1060.0000
319,18.9600,1098.0000
320,18.8400,1092.0000
321,18.5400,1077.0000
322,37.2200,2011.0000
323,18.8600,1093.0000
324,18.1800,1059.0000
325,43.8600,2343.0000
326,14.6800,884.0000
327,43.4600,2323.0000
328,18.4200,1071.0000
329,18.6800,1084.0000
330,18.2600,1063.0000
331,19.2600,1113.0000
332,49.0200,2601.0000
333,18.2600,1063.0000
334,18.2400,1062.0000
335,21.1800,1209.0000
336,36.1400,1957.0000
337,18.2400,1062.0000
338,55.4400,2872.0000
339,22.0600,1253.0000
340,21.5000,1225.0000
341,18.6000,1080.0000
342,18.2400,1062.0000
343,49.2800,2614.0000
344,13.1200,806.0000
345,18.3800,1069.0000
346,18.4400,1072.0000
347,18.7200,1086.0000
348,18.4400,1072.0000
349,19.4000,1120.0000
350,19.0800,1104.0000
351,18.3800,1069.0000
352,49.3200,2616.0000
353,18.5200,1076.0000
354,21.7000,1235.0000
355,18.2200,1061.0000
356,18.2800,1064.0000
357,18.7400,1087.0000
358,48.2400,2562.0000
359,18.4400,1072.0000
360,18.3000,1065.0000
361,18.5000,1075.0000
362,18.4600,1073.0000
363,48.7600,2588.0000
364,14.4400,872.0000
365,18.3800,1069.0000
366,21.3600,1218.0000
367,18.1200,1056.0000
368,18.4800,1074.0000
369,59.8600,3093.0000
